央视频道,#genre#
CCTV1,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/1.m3u8?fmt=ts2hls$『全网』
CCTV2,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/1.m3u8?fmt=ts2hls$『全网』
CCTV3,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225963/1.m3u8?fmt=ts2hls$『全网』
CCTV4,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225898/1.m3u8?fmt=ts2hls$『全网』
CCTV4欧洲,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225969/1.m3u8?fmt=ts2hls$『全网』
CCTV4美洲,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225970/1.m3u8?fmt=ts2hls$『全网』
CCTV5,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225964/1.m3u8?fmt=ts2hls$『全网』
CCTV5+,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225663/1.m3u8?fmt=ts2hls$『全网』
CCTV6,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225965/1.m3u8?fmt=ts2hls$『全网』
CCTV7,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225897/1.m3u8?fmt=ts2hls$『全网』
CCTV8,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225966/1.m3u8?fmt=ts2hls$『全网』
CCTV9,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225919/1.m3u8?fmt=ts2hls$『全网』
CCTV10,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225917/1.m3u8?fmt=ts2hls$『全网』
CCTV11,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225867/1.m3u8?fmt=ts2hls$『全网』
CCTV12,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225915/1.m3u8?fmt=ts2hls$『全网』
CCTV13,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225957/1.m3u8?fmt=ts2hls$『全网』
CCTV14,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225916/1.m3u8?fmt=ts2hls$『全网』
CCTV15,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225866/1.m3u8?fmt=ts2hls$『全网』
CCTV16,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226300/1.m3u8?fmt=ts2hls$『全网』
